fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220909 124142	-0.320612826354045	947.191237169318	225.176637622644	12	5	21746666.6666667	1
20220909 124228	-0.128244269956485	2207.51577124465	352.343801490497	10	5	21280000	2
20220909 124313	-0.413369670850807	4004.59692622535	913.227410988475	13	5	21026666.6666667	3
20220909 124401	-0.61816096019611	2896.89649054781	634.881095096353	19	5	21506666.6666667	4
20220909 124418	-0.0478337768479832	1816.06365072075	676.243512622023	3	5	22266666.6666667	5
20220909 124509	-0.762138114240952	1693.4698499972	400.364874168008	14	5	21640000	6
20220909 124543	-0.205316203308757	1156.05551742483	117.213113888283	7	5	23573333.3333333	7
20220909 124620	-0.0298282837276929	4346.78323201369	469.591579654661	9	5	20293333.3333333	8
20220909 124708	-0.808532033137453	4591.79576945025	524.137224300648	20	5	20320000	9
20220909 124752	-0.479179487515648	2329.77270516567	746.972080420528	11	5	22853333.3333333	10
20220909 124824	-0.917293609507033	3441.55493420549	162.669220966927	7	5	21546666.6666667	11
20220909 124908	-0.981596678541973	3705.93797059264	972.95559070044	18	5	21053333.3333333	12
20220909 124930	-0.586416081391508	4966.94900286384	863.328966527479	4	5	21026666.6666667	13
20220909 125023	-0.247369127105048	3002.36889135558	277.454901774763	16	5	21733333.3333333	14
20220909 125116	-0.132151690800674	2066.24178625643	178.779094130732	14	5	22066666.6666667	15
20220909 125157	-0.977890266396571	3575.29261671007	885.977944137994	11	5	21386666.6666667	16
20220909 125222	0.0800480883047817	272.762638998566	100.024031952451	6	5	-1020000	17
20220909 125312	-0.210928031915641	1506.38438777869	750.038082566961	20	5	22666666.6666667	18
20220909 125330	-0.545782972017096	1603.81694288047	117.316113186348	3	5	20693333.3333333	19
20220909 125422	-0.473296827623755	1186.37309344276	591.647490749786	15	5	21466666.6666667	20
20220909 125510	-0.116558759197081	1984.40256087737	992.1985588869	20	5	23120000	21
20220909 125532	0.0996528029456032	1302.09941533468	100.427821908196	20	5	-1020000	22
20220909 125642	-0.221688964259144	311.907650655187	100.568571351966	20	5	22400000	23
20220909 125746	-0.490973946217059	3344.59096187226	103.421490895542	20	5	22413333.3333333	24
20220909 125845	-0.405836853707646	2383.58623645932	101.451188946867	16	5	2.2e+07	25
20220909 125943	-0.237414049724339	1616.35876179978	100.166350054166	15	5	22746666.6666667	26
20220909 130027	-0.871083013505975	2196.87217885776	999.45522897561	11	5	23120000	27
20220909 130120	-0.93101377309462	1292.08598844762	590.318465060732	15	5	21613333.3333333	28
20220909 130138	-0.79404647034724	2922.7913926376	999.911144671838	3	5	21106666.6666667	29
20220909 130157	-0.077525371528717	2024.64226236532	996.291702853048	3	5	22266666.6666667	30
20220909 130252	-0.152489185660584	1082.57284792798	538.139846689555	20	5	2.2e+07	31
20220909 130345	-0.857355702463554	2412.08081279583	358.98097827855	20	5	21600000	32
20220909 130404	-0.463796028412909	3104.00148528791	365.54462238086	3	5	20400000	33
20220909 130451	-0.520332804364227	2592.83070445128	999.98652006915	20	5	21946666.6666667	34
20220909 130510	-0.241929632027078	271.579624858541	134.281395797049	3	5	21080000	35
20220909 130556	-0.0614091406892143	2814.97596914957	999.919034525711	20	5	21480000	36
20220909 130653	-0.196242713035232	2099.59618487576	100.737543396233	15	5	23213333.3333333	37
20220909 130712	-0.855530347217371	204.401941396237	100.587395090832	3	5	20666666.6666667	38
20220909 130755	-0.68920592038569	1989.92357451135	994.669321650257	10	5	23120000	39
20220909 130834	-0.683425917663466	3280.15786471708	100.767568601239	9	5	22493333.3333333	40
20220909 130918	-0.705091278817965	4963.89047799329	995.447021149257	13	5	21026666.6666667	41
20220909 130937	-0.665878176344435	1312.27353438696	652.224226398208	3	5	22266666.6666667	42
20220909 131046	-0.687634054107499	230.240098387333	100.019364384369	19	5	22146666.6666667	43
20220909 131126	-0.90088486106065	4992.7886301341	999.984404318065	10	5	21026666.6666667	44
20220909 131209	-0.502554044129868	4999.15736625647	735.101474594026	12	5	21026666.6666667	45
20220909 131257	-0.339101109572749	2182.56180660952	999.191629801584	20	5	23120000	46
20220909 131401	-0.340511557172736	3327.86722612168	100.458794064893	20	5	22333333.3333333	47
20220909 131438	-0.206158868105491	2001.27114477448	997.308560106688	8	5	23120000	48
20220909 131518	-0.35223403953481	2064.31370078754	999.656709363626	9	5	23093333.3333333	49
20220909 131605	-0.298278962855799	2076.18206985571	999.089172502888	13	5	23093333.3333333	50
20220909 131634	-0.207833964765796	4996.15949560994	100.106240856861	6	5	20920000	51
20220909 131714	-0.585218419963308	2000.27157440525	999.36307479933	9	5	23120000	52
20220909 131748	-0.501568800239451	2027.54318311018	999.826239002155	7	5	23120000	53
20220909 131828	-0.642418202364826	2174.50441294149	999.222729732926	9	5	23120000	54
20220909 131847	-0.908127935483843	2010.19039846153	999.93125731226	3	5	22266666.6666667	55
20220909 131906	-0.0473046159875787	4999.39076291672	910.245171847411	3	5	21106666.6666667	56
20220909 131939	-0.999966459967317	210.179876403843	100.689877513134	6	5	22293333.3333333	57
20220909 132005	-0.999846294989491	4845.72384942695	100.709160437514	5	5	20920000	58
20220909 132053	-0.179230923632863	1997.91628014659	991.630571350289	16	5	23120000	59
20220909 132142	-0.648715057580132	1824.63102436844	100.139167234428	12	5	22653333.3333333	60
20220909 132201	-0.1891487379301	1506.13592076668	100.051762451469	3	5	20666666.6666667	61
20220909 132250	-0.208586270486828	888.735879578135	126.1787706727	11	5	22506666.6666667	62
20220909 132324	-0.283362787108161	1488.74597635707	735.657423513727	7	5	22813333.3333333	63
20220909 132426	-0.14332783241632	4855.61002590761	100.287548558843	20	5	20920000	64
20220909 132500	-0.0632702762649529	1914.82229396743	874.919230722457	7	5	22986666.6666667	65
20220909 132534	-0.222080973052104	1914.51050929103	100.59034553875	7	5	22946666.6666667	66
20220909 132622	-0.842275162407523	1999.77469789602	999.01730423613	20	5	23120000	67
20220909 132729	-0.20185856611885	2033.97835382054	100.162160721851	20	5	23133333.3333333	68
20220909 132807	-0.669232630540937	201.095808511176	100.32876744935	8	5	22586666.6666667	69
20220909 132844	-0.542767568020376	2605.64486906293	774.446244127821	8	5	22200000	70
20220909 132932	-0.286732724510154	2002.37813203372	999.708807933439	20	5	23120000	71
20220909 133004	-0.999906131852169	2002.38366107988	996.068771155603	6	5	23120000	72
20220909 133115	-0.99985585406798	208.655615793883	103.220419516332	20	5	21880000	73
20220909 133149	-0.204951120776057	1238.5102333846	611.899747970829	7	5	22120000	74
20220909 133224	-0.309635189251531	2007.43425631899	999.323453638021	7	5	23120000	75
20220909 133312	-0.732124511243369	2015.36025225357	999.994352356669	20	5	23120000	76
20220909 133347	-0.280763959066346	483.470402477198	100.289581538029	7	5	22693333.3333333	77
20220909 133435	-0.672376334397191	2010.15656958347	999.74052543765	17	5	23120000	78
20220909 133515	-0.462457678105024	2093.5954872164	998.055889109868	9	5	23120000	79
20220909 133604	-0.891948311610043	1994.03551148465	990.639925313477	20	5	23226666.6666667	80
20220909 133651	-0.199521176074273	2189.88073249295	999.67897720436	20	5	23120000	81
20220909 133755	-0.664426954984642	4997.0756057583	102.299377376985	20	5	20920000	82
20220909 133832	-0.259150376117947	1942.72802096563	961.309505668987	8	5	23213333.3333333	83
20220909 133852	-0.99997288134413	2025.64513947384	426.739684702844	3	5	20440000	84
20220909 133934	-0.952895447187106	2001.65947117618	999.753852066093	9	5	23120000	85
20220909 134008	-0.712000552035205	1546.65038264629	100.183854532874	7	5	23053333.3333333	86
20220909 134034	-0.734275348087412	4999.21751405312	100.482104885286	5	5	20920000	87
20220909 134140	-0.713350362981196	2327.63576067196	100.110969269818	20	5	21986666.6666667	88
20220909 134230	-0.323352561836791	1791.72848874298	892.52480839029	17	5	22933333.3333333	89
20220909 134309	-0.482162821161975	2602.23231764499	100.131417430708	9	5	22493333.3333333	90
20220909 134347	-0.881929679562562	1720.23858144857	859.007750792855	8	5	22946666.6666667	91
20220909 134454	-0.88507487134674	203.061041539157	100.152597046564	17	5	2.2e+07	92
20220909 134524	-0.0654985640064377	3121.84914453131	751.531811458054	6	5	21413333.3333333	93
20220909 134559	-0.617791702492592	1718.61578447818	855.99346931916	7	5	22946666.6666667	94
20220909 134646	-0.99996743112393	1967.17368037249	983.462322933857	12	5	23240000	95
20220909 134733	-0.999656571020768	1612.538098923	100.01169379951	11	5	22746666.6666667	96
20220909 134804	-0.669740016939366	1996.32383266557	995.374652103934	6	5	23120000	97
20220909 134839	-0.671646582316747	1780.65181632398	256.99284161344	7	5	22213333.3333333	98
20220909 134910	-0.0403067953275425	2000.51874219326	998.566920843103	6	5	23120000	99
20220909 134959	-0.881885724256226	2007.08184005333	999.326322057728	16	5	23120000	100
20220909 135047	-0.810837057014875	1513.26747802677	100.433857782471	11	5	22426666.6666667	101
20220909 135150	-0.199952431036412	1343.65993514438	100.701617407455	17	5	22226666.6666667	102
20220909 135239	-0.157510355530984	1921.6423417031	960.366608014172	20	5	23213333.3333333	103
20220909 135314	-0.423225723262996	1661.22048790275	829.060680340078	7	5	22840000	104
20220909 135400	-0.73183412890762	649.267580520464	100.132981556831	10	5	21813333.3333333	105
20220909 135447	-0.779463691725446	2019.20603138548	999.822524440525	14	5	23120000	106
20220909 135549	-0.999395718732659	4939.80180545378	100.759191468017	20	5	20920000	107
20220909 135637	-0.608690193494792	2004.11685419211	999.898284997991	14	5	23120000	108
20220909 135729	-0.891393674842447	2067.39626438382	100.05370689733	13	5	23213333.3333333	109
20220909 135821	-0.870381870265032	4285.20206113401	100.273585497652	14	5	21333333.3333333	110
20220909 135910	-0.657861397769408	1731.24848272793	865.527797859387	20	5	22880000	111
20220909 140022	-0.360481414375759	202.592319597838	100.312989180356	20	5	2.2e+07	112
20220909 140100	-0.903589352916829	1577.0714594102	100.046112751909	8	5	22813333.3333333	113
20220909 140135	-0.475134760790587	4996.99310239026	100.74359513042	8	5	20920000	114
20220909 140223	-0.785629399858042	1797.16790196819	898.013317070524	20	5	22933333.3333333	115
20220909 140243	-0.476552638755514	1844.43934951617	921.819955237812	3	5	22266666.6666667	116
