fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221016 153857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	376291	0.251877969374123	0.563144241860136	1858	112	9420	11936000	1
20221016 154207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	376291	0.101645827699162	0.37260232059285	6926	385	12310	8116000	2
20221016 154503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	376291	0.128257390386134	0.501962155392393	5346	785	11653	9388000	3
20221016 154828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	376291	0.121688087721705	0.4043355502747	2067	436	6120	16488000	4
20221016 155009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	376291	0.191256014117098	0.813598527768627	3156	630	10020	11944000	5
20221016 155158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	376291	0.154920791431039	0.74235059723258	2491	478	13083	7488000	6
20221016 155421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	376291	0.266213864699879	0.899808391509578	1135	710	7195	14162000	7
20221016 155719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	376291	0.0915245337670785	0.303115105619654	3407	841	11138	10386000	8
20221016 155953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	376291	0.201688058449479	0.453930703345686	7583	560	9648	11718000	9
20221016 160322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	376291	0.0756497856708011	0.530846193069592	4860	267	12899	7858000	10
20221016 160458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	376291	0.176165410694899	0.988691174639389	4635	27	14750	4796000	11
20221016 162044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	545	TRUE	376291	0.0128292199966381	0.277162505378947	6189	969	7849	14054000	12
20221016 162333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	376291	0.236640266334056	0.667938546258956	1467	341	10695	10282000	13
20221016 162522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	376291	0.143815775892755	0.685763459363952	4099	908	14014	6188000	14
