fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221015 152836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	376291	0.251877969374123	0.563144241860136	1858	112	9420	11920000	1
20221015 153207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	376291	0.101645827699162	0.37260232059285	6926	385	12310	8196000	2
20221015 153519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	376291	0.128257390386134	0.501962155392393	5346	785	11653	9324000	3
20221015 153901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	376291	0.121688087721705	0.4043355502747	2067	436	6120	16400000	4
20221015 154059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	376291	0.191256014117098	0.813598527768627	3156	630	10020	11784000	5
20221015 154309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	376291	0.154920791431039	0.74235059723258	2491	478	13083	7368000	6
20221015 154551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	376291	0.266213864699879	0.899808391509578	1135	710	7195	14250000	7
20221015 154918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	376291	0.0915245337670785	0.303115105619654	3407	841	11138	10018000	8
20221015 155205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	376291	0.201688058449479	0.453930703345686	7583	560	9648	11742000	9
20221015 155603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	376291	0.0756497856708011	0.530846193069592	4860	267	12899	7762000	10
20221015 155753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	376291	0.176165410694899	0.988691174639389	4635	27	14750	4756000	11
