fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221014 180402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	376291	0.251877969374123	0.563144241860136	1858	112	9420	11976000	1
20221014 180754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	376291	0.101645827699162	0.37260232059285	6926	385	12310	8196000	2
20221014 181041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	376291	0.128257390386134	0.501962155392393	5346	785	11653	9444000	3
20221014 181407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	376291	0.121688087721705	0.4043355502747	2067	436	6120	16360000	4
20221014 181547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	376291	0.191256014117098	0.813598527768627	3156	630	10020	11928000	5
20221014 181736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	376291	0.154920791431039	0.74235059723258	2491	478	13083	7400000	6
20221014 181947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	376291	0.266213864699879	0.899808391509578	1135	710	7195	14434000	7
20221014 182242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	376291	0.0915245337670785	0.303115105619654	3407	841	11138	10226000	8
20221014 182504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	376291	0.201688058449479	0.453930703345686	7583	560	9648	11710000	9
20221014 182833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	376291	0.0756497856708011	0.530846193069592	4860	267	12899	7842000	10
20221014 183004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	376291	0.176165410694899	0.988691174639389	4635	27	14750	4988000	11
