fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 221237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	376291	0.251877969374123	0.563144241860136	1858	112	9420	4744000	1
20221018 221607	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	376291	0.101645827699162	0.37260232059285	6926	385	12310	868000	2
20221018 221921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	376291	0.128257390386134	0.501962155392393	5346	785	11653	1812000	3
20221018 222303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	376291	0.121688087721705	0.4043355502747	2067	436	6120	9592000	4
20221018 222508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	376291	0.191256014117098	0.813598527768627	3156	630	10020	4288000	5
20221018 222719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	376291	0.154920791431039	0.74235059723258	2491	478	13083	-376000	6
20221018 223001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	376291	0.266213864699879	0.899808391509578	1135	710	7195	7762000	7
20221018 223327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	376291	0.0915245337670785	0.303115105619654	3407	841	11138	2786000	8
20221018 223618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	376291	0.201688058449479	0.453930703345686	7583	560	9648	4422000	9
20221018 224055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	376291	0.0756497856708011	0.530846193069592	4860	267	12899	82000	10
20221018 224258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	376291	0.176165410694899	0.988691174639389	4635	27	14750	-3372000	11
20221018 230503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	756	TRUE	376291	0.0128292199966381	0.277162505378947	6189	969	7849	6958000	12
20221018 230742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	376291	0.236640266334056	0.667938546258956	1467	341	10695	2650000	13
20221018 230954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	376291	0.143815775892755	0.685763459363952	4099	908	14014	-1972000	14
20221018 231131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	376291	0.283205371434859	0.84811754591763	5998	134	5915	9450000	15
20221018 231640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	376291	0.0473567477233009	0.953728083660826	3705	588	5485	10302000	16
20221018 232005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	376291	0.219673356120533	0.21067983277142	552	743	6739	7978000	17
20221018 232554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	376291	0.0585642237336724	0.325513941124082	7848	274	8899	5658000	18
20221018 232737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	376291	0.287984864923463	0.797864156076685	6795	1009	8090	6708000	19
20221018 233848	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	376291	0.0314805574575439	0.622674702527002	96	190	13828	-1826000	20
20221018 234133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	376291	0.126577060745074	0.756027343296421	4527	514	5000	10776000	21
20221018 234511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	376291	0.0800496239267615	0.775919928280148	3999	94	5000	10904000	22
20221019 001353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	948	TRUE	376291	0.00659262310414974	0.688732041535771	4682	267	5000	10696000	23
20221019 001657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	376291	0.0879101229983727	0.846140117901744	5125	249	5000	10688000	24
20221019 002054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	376291	0.0925036556194808	0.538010060378297	4315	23	5001	10832000	25
20221019 002504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	376291	0.0677503218708404	0.627646751695603	3398	578	5001	10848000	26
20221019 002900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	376291	0.076333505902488	0.661142456712907	3752	233	5001	10968000	27
20221019 003110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	376291	0.162499633684413	0.638990712836786	2961	106	5000	10600000	28
20221019 003554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	376291	0.0613191298762246	0.202199773133326	3777	258	5000	10856000	29
20221019 004124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	376291	0.0561801931562963	0.406067602451358	3722	162	5000	10792000	30
20221019 004502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	376291	0.105081227714852	0.253413449274488	4420	485	5001	10848000	31
