fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 110525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	376291	0.251877969374123	0.563144241860136	1858	112	9420	4696000	1
20221019 110817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	376291	0.101645827699162	0.37260232059285	6926	385	12310	868000	2
20221019 111108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	376291	0.128257390386134	0.501962155392393	5346	785	11653	2204000	3
20221019 111406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	376291	0.121688087721705	0.4043355502747	2067	436	6120	9528000	4
20221019 111555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	376291	0.191256014117098	0.813598527768627	3156	630	10020	4544000	5
20221019 111805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	376291	0.154920791431039	0.74235059723258	2491	478	13083	-104000	6
20221019 112033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	376291	0.266213864699879	0.899808391509578	1135	710	7195	8066000	7
20221019 112329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	376291	0.0915245337670785	0.303115105619654	3407	841	11138	2978000	8
20221019 112540	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	376291	0.201688058449479	0.453930703345686	7583	560	9648	4814000	9
20221019 112929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	376291	0.0756497856708011	0.530846193069592	4860	267	12899	362000	10
20221019 113118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	376291	0.176165410694899	0.988691174639389	4635	27	14750	-2748000	11
20221019 114851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	588	TRUE	376291	0.0128292199966381	0.277162505378947	6189	969	7849	7558000	12
20221019 115124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	376291	0.236640266334056	0.667938546258956	1467	341	10695	2850000	13
20221019 115328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	376291	0.143815775892755	0.685763459363952	4099	908	14014	-1524000	14
20221019 115510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	376291	0.283205371434859	0.84811754591763	5998	134	5915	9698000	15
20221019 120013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	376291	0.0473567477233009	0.953728083660826	3705	588	5485	10574000	16
20221019 120408	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	376291	0.219673356120533	0.21067983277142	552	743	6739	7914000	17
20221019 120850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	376291	0.0585642237336724	0.325513941124082	7848	274	8899	6178000	18
20221019 121025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	376291	0.287984864923463	0.797864156076685	6795	1009	8090	7036000	19
20221019 122108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	376291	0.0314805574575439	0.622674702527002	96	190	13828	-1858000	20
20221019 122406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	376291	0.111504348232308	0.748986056510033	5178	548	5000	10792000	21
20221019 123328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	350	TRUE	376291	0.0253314211192447	0.792302583488177	5037	248	5001	11064000	22
20221019 123648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	376291	0.0809103788738671	0.966519492473991	5159	166	5002	10736000	23
20221019 130549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1033	TRUE	376291	0.00512416457740765	0.864704244830956	7901	382	5001	10800000	24
20221019 131235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	376291	0.0440670059188733	0.764517838720871	5908	315	5483	10536000	25
20221019 133918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	775	TRUE	376291	0.00690059757020176	0.834597906959031	2935	397	5002	11056000	26
20221019 142903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1486	TRUE	376291	0.00603607780316361	0.518437275939444	4096	461	5000	10936000	27
20221019 150907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1653	TRUE	376291	0.00511380804983574	0.689590032458278	3859	20	5001	10872000	28
20221019 154828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1501	TRUE	376291	0.00523313597845487	0.82704262274396	4276	471	5000	10880000	29
20221019 155408	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	376291	0.0394223966129256	0.65890488096535	2301	867	5001	10872000	30
20221019 155637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	376291	0.179241940909659	0.523875001986145	7979	201	5000	10656000	31
20221019 160216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	376291	0.0389014711737337	0.630386178428327	2689	250	5002	10920000	32
20221019 160432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	376291	0.272561438741506	0.500616654571939	3591	868	5000	10752000	33
20221019 160722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	376291	0.139711579687543	0.501667350404477	3389	977	5001	10784000	34
20221019 161520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	273	TRUE	376291	0.0341891867205293	0.315904777940662	7582	744	5000	10776000	35
20221019 164652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	844	TRUE	376291	0.00593762529169303	0.432600266324081	7355	170	5000	10672000	36
20221019 164859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	376291	0.264469587630887	0.521977866401556	7988	898	5001	10528000	37
20221019 165544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	376291	0.0352455918050786	0.458617751604298	3293	709	5000	10880000	38
20221019 170824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	482	TRUE	376291	0.0289544572825306	0.997436852627911	2551	1024	5000	10880000	39
20221019 171920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	344	TRUE	376291	0.0199987679230681	0.883441902614759	3082	267	5000	11032000	40
