fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 105906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	376291	0.251877969374123	0.563144241860136	1858	112	9420	4472000	1
20221018 110210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	376291	0.101645827699162	0.37260232059285	6926	385	12310	652000	2
20221018 110512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	376291	0.128257390386134	0.501962155392393	5346	785	11653	1908000	3
20221018 110832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	376291	0.121688087721705	0.4043355502747	2067	436	6120	9376000	4
20221018 111024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	376291	0.191256014117098	0.813598527768627	3156	630	10020	4048000	5
20221018 111223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	376291	0.154920791431039	0.74235059723258	2491	478	13083	-368000	6
20221018 111506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	376291	0.266213864699879	0.899808391509578	1135	710	7195	7626000	7
20221018 111815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	376291	0.0915245337670785	0.303115105619654	3407	841	11138	2634000	8
20221018 112044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	376291	0.201688058449479	0.453930703345686	7583	560	9648	4366000	9
20221018 112450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	376291	0.0756497856708011	0.530846193069592	4860	267	12899	114000	10
20221018 112639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	376291	0.176165410694899	0.988691174639389	4635	27	14750	-3364000	11
20221018 114130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	453	TRUE	376291	0.0128292199966381	0.277162505378947	6189	969	7849	6878000	12
20221018 114357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	376291	0.236640266334056	0.667938546258956	1467	341	10695	2594000	13
20221018 114559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	376291	0.143815775892755	0.685763459363952	4099	908	14014	-1964000	14
20221018 114727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	376291	0.283205371434859	0.84811754591763	5998	134	5915	9338000	15
20221018 115155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	376291	0.0473567477233009	0.953728083660826	3705	588	5485	10262000	16
20221018 115608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	376291	0.219673356120533	0.21067983277142	552	743	6739	7730000	17
20221018 120137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	376291	0.0585642237336724	0.325513941124082	7848	274	8899	5570000	18
20221018 120310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	376291	0.287984864923463	0.797864156076685	6795	1009	8090	6516000	19
20221018 121326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	376291	0.0314805574575439	0.622674702527002	96	190	13828	-1914000	20
20221018 121604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	376291	0.111952217339462	0.743629608336174	5022	526	5000	10848000	21
20221018 122230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	376291	0.027427848772546	0.727872242061759	5008	218	5000	10640000	22
20221018 122457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	376291	0.114510500768332	0.887026348372389	4609	280	5001	10736000	23
20221018 122805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	376291	0.0732639026261879	0.851612808847068	6640	426	5000	10456000	24
20221018 123107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	376291	0.0866126465390068	0.726887164622753	4076	390	5000	10800000	25
20221018 123313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	376291	0.159630837219476	0.642912677674153	4812	365	5001	10640000	26
20221018 123554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	376291	0.115249648052249	0.751774307374353	4224	902	5001	10648000	27
20221018 123839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	376291	0.102718585280733	0.732667554256623	4825	18	5005	10662000	28
20221018 124111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	376291	0.123417835644173	0.781709045087849	4042	578	5000	10816000	29
20221018 124353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	376291	0.0956115725287417	0.674180201463238	4584	661	5000	10808000	30
20221018 124629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	376291	0.104492523181131	0.75030579819143	4789	267	5268	10334000	31
20221018 125622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	208	TRUE	376291	0.0232164914747702	0.873882695627252	1406	534	5000	10928000	32
20221018 125956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	376291	0.0575572923929663	0.997781486660817	1177	18	5000	10640000	33
20221018 130611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	376291	0.0383647028847695	0.395656204984138	1940	569	5000	10672000	34
20221018 131006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	376291	0.0811963959680519	0.999565142736467	1392	731	5000	10400000	35
20221018 132725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	623	TRUE	376291	0.0079529648162793	0.642963141724916	1509	16	5000	10688000	36
20221018 132859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	376291	0.299899764762082	0.824151149177498	5486	874	5001	10536000	37
20221018 133046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	376291	0.298215586464058	0.345305105319547	5232	554	5000	10496000	38
20221018 135839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	713	TRUE	376291	0.00529923615912781	0.829862253342916	2859	534	5001	10648000	39
20221018 141049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	376291	0.0526416979312201	0.776276005989868	98	472	5001	10424000	40
20221018 141552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	376291	0.0448022621832918	0.8772839586581	1733	467	5000	10736000	41
20221018 142329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	376291	0.0300886880171988	0.207035104079994	4246	40	5000	10664000	42
20221018 143527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	431	TRUE	376291	0.022331629312514	0.253876490315776	4397	620	5000	10760000	43
20221018 143739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	376291	0.237429423380499	0.413928082383858	7979	1024	5001	10472000	44
20221018 144115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	376291	0.110034251768467	0.382058382617708	4968	1024	5000	10680000	45
20221018 144445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	376291	0.113244054580759	0.405543737423059	6034	628	5000	10600000	46
20221018 144625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	376291	0.2319100327342	0.925040569370155	4808	536	5000	10536000	47
20221018 144841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	376291	0.276422791250629	0.20140521124018	5561	1009	5000	10248000	48
20221018 151037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	357	TRUE	376291	0.0095721361592551	0.590137093648591	1052	1021	5000	10912000	49
20221018 152445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	391	TRUE	376291	0.0189841832716417	0.514339783407268	4313	1024	5002	10664000	50
